instance,method,status,feasible,optimal,objective,best_bound,gap,time_sec
"MVPRP1_15_3_2","alns","ALNS(seed=42,iters=34445,accepted=20010,bestIter=16110,restarts=19)",true,false,39887.008688,NaN,NaN,60.003468
"MVPRP1_15_3_3","alns","ALNS(seed=42,iters=44631,accepted=22291,bestIter=38,restarts=13)",true,false,40562.837674,NaN,NaN,60.000152
"MVPRP1_15_6_2","alns","ALNS(seed=42,iters=5112,accepted=1128,bestIter=3761,restarts=1)",true,false,66684.974093,NaN,NaN,60.000192
"MVPRP1_15_6_3","alns","ALNS(seed=42,iters=9522,accepted=1629,bestIter=8262,restarts=2)",true,false,68409.100430,NaN,NaN,60.000163
"MVPRP1_15_9_2","alns","ALNS(seed=42,iters=2816,accepted=522,bestIter=2730,restarts=1)",true,false,99955.654982,NaN,NaN,60.000309
"MVPRP1_15_9_3","alns","ALNS(seed=42,iters=7402,accepted=843,bestIter=4731,restarts=2)",true,false,102386.355480,NaN,NaN,60.000408
"MVPRP2_15_3_2","alns","ALNS(seed=42,iters=38714,accepted=24205,bestIter=19535,restarts=10)",true,false,284266.271971,NaN,NaN,60.000211
"MVPRP2_15_3_3","alns","ALNS(seed=42,iters=44742,accepted=24620,bestIter=38,restarts=0)",true,false,284912.837674,NaN,NaN,60.000149
"MVPRP2_15_6_2","alns","ALNS(seed=42,iters=4695,accepted=1275,bestIter=4499,restarts=0)",true,false,555456.634623,NaN,NaN,60.042001
"MVPRP2_15_6_3","alns","ALNS(seed=42,iters=9112,accepted=1814,bestIter=7679,restarts=0)",true,false,556774.304170,NaN,NaN,60.000325
"MVPRP2_15_9_2","alns","ALNS(seed=42,iters=3028,accepted=572,bestIter=1011,restarts=0)",true,false,804129.994513,NaN,NaN,60.000055
"MVPRP2_15_9_3","alns","ALNS(seed=42,iters=6607,accepted=894,bestIter=6337,restarts=0)",true,false,834967.372274,NaN,NaN,60.000213
"MVPRP3_15_3_2","alns","ALNS(seed=42,iters=31607,accepted=17171,bestIter=1317,restarts=20)",true,false,50524.244961,NaN,NaN,60.000127
"MVPRP3_15_3_3","alns","ALNS(seed=42,iters=39204,accepted=20585,bestIter=992,restarts=27)",true,false,52635.390827,NaN,NaN,60.000047
"MVPRP3_15_6_2","alns","ALNS(seed=42,iters=5880,accepted=1184,bestIter=1314,restarts=0)",true,false,99954.828391,NaN,NaN,60.000019
"MVPRP3_15_6_3","alns","ALNS(seed=42,iters=8456,accepted=1658,bestIter=7839,restarts=1)",true,false,106470.616009,NaN,NaN,60.057151
"MVPRP3_15_9_2","alns","ALNS(seed=42,iters=4978,accepted=836,bestIter=3360,restarts=2)",true,false,151075.005485,NaN,NaN,60.000043
"MVPRP3_15_9_3","alns","ALNS(seed=42,iters=5247,accepted=576,bestIter=3965,restarts=1)",true,false,162930.489524,NaN,NaN,60.000295
"MVPRP4_15_3_2","alns","ALNS(seed=42,iters=31781,accepted=11027,bestIter=598,restarts=13)",true,false,29798.556945,NaN,NaN,60.000260
"MVPRP4_15_3_3","alns","ALNS(seed=42,iters=35208,accepted=10736,bestIter=2398,restarts=18)",true,false,30258.103837,NaN,NaN,60.000288
"MVPRP4_15_6_2","alns","ALNS(seed=42,iters=8246,accepted=1423,bestIter=5153,restarts=4)",true,false,62194.842629,NaN,NaN,60.000203
"MVPRP4_15_6_3","alns","ALNS(seed=42,iters=9678,accepted=1631,bestIter=7023,restarts=3)",true,false,63794.532804,NaN,NaN,60.000141
"MVPRP4_15_9_2","alns","ALNS(seed=42,iters=4649,accepted=632,bestIter=3861,restarts=0)",true,false,94210.330181,NaN,NaN,60.001681
"MVPRP4_15_9_3","alns","ALNS(seed=42,iters=7009,accepted=858,bestIter=5161,restarts=1)",true,false,96785.134720,NaN,NaN,60.000024
